"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",13.98,13.89,14.07,10.17,9.97,10.4,11.83,11.74,11.96,13.72,13.63,13.82,15.67,15.53,15.79,18.05,17.78,18.2,14925,9246,604
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.99,14.88,15.09,11.1,10.93,11.31,12.69,12.58,12.81,14.52,14.45,14.62,16.83,16.67,17,19.43,19.21,19.7,14957,9478,580
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.54,14.48,14.61,10.55,10.45,10.62,12,11.96,12.06,13.93,13.84,13.99,16.36,16.29,16.48,19.14,18.94,19.32,48986,30991,1713
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",9,"2 , 3  und 4 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.54,15.47,15.61,11.28,11.17,11.37,12.89,12.83,12.95,14.88,14.8,14.95,17.48,17.37,17.6,20.52,20.33,20.64,49465,32015,1661
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",27.59,27.28,27.91,18.52,17.65,18.96,21.82,21.48,22.22,26.39,26.09,26.7,32.06,31.51,32.77,38.25,37.32,39.18,35586,6336,1210
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",29.48,29.25,29.72,19.05,18.78,19.4,23.07,22.82,23.38,28.45,28.13,28.75,34.42,33.88,34.85,41.48,40.78,42.05,35728,7237,1786
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.94,23.66,24.22,15.93,15.43,16.27,19.11,18.67,19.36,22.89,22.57,23.17,27.8,27.45,28.25,33.57,32.92,34.26,51225,8700,1260
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",25.79,25.56,26.02,16.99,16.46,17.3,20.21,20,20.61,25,24.76,25.36,30,29.69,30.49,36.19,35.68,36.92,50539,9132,1836
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",22.66,22.37,22.95,14.93,14.49,15.32,17.79,17.46,18.05,21.46,21.1,21.92,26.61,26.09,27.25,32.15,31.43,32.96,25972,4545,1053
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",4,"4 Zimmer",2,"Nicht gemeinnützig",2,"Quadratmeter",1,"Netto",23.87,23.62,24.12,15.48,15.06,15.91,18.71,18.45,19.03,22.78,22.57,23.11,28.19,27.85,28.62,33.47,32.85,34.17,25502,4670,1514
